customerid,systemloanid,loanamount,totaldue,termdays,good_bad_flag,bank_name_clients,bank_branch_clients,latitude_gps,longitude_gps,employment_status_clients,level_of_education_clients,num_prev_loans,total_borrowed,avg_loan_amount,max_loan_amount,min_loan_amount,avg_total_due,avg_term_days
CUST_000001,LOAN_00000001,73564,98974,180,Bad,Fidelity Bank,Port Harcourt,5.1757094340162375,9.564337757093371,Contract,HND/BSc,5.0,226754.0,45350.8,61315.0,24015.0,59272.2,96.0
CUST_000002,LOAN_00000002,28946,36276,30,Good,Zenith Bank,Kano,7.3465310610977745,3.640081956062202,Permanent,Secondary,6.0,155454.0,25909.0,37147.0,12143.0,33532.5,75.0
CUST_000003,LOAN_00000003,44231,55623,180,Good,UBA,Kaduna,4.232550749980101,7.78319595262147,Permanent,PhD,4.0,96125.0,24031.25,53578.0,12844.0,31528.75,127.5
CUST_000004,LOAN_00000004,39029,49891,90,Good,Fidelity Bank,Port Harcourt,5.996015427401918,6.24880478906079,Permanent,Secondary,4.0,2104609.0,526152.25,1953959.0,23570.0,721284.75,90.0
CUST_000005,LOAN_00000005,118950,153544,90,Bad,First Bank,Benin City,11.024240245421394,14.992021473973384,Self-Employed,PhD,1.0,17385.0,17385.0,17385.0,17385.0,22083.0,180.0
CUST_000006,LOAN_00000006,43027,57640,60,Good,Union Bank,Jos,5.810577090599916,6.700260847587723,Permanent,HND/BSc,4.0,81437.0,20359.25,28221.0,14387.0,25398.0,105.0
CUST_000007,LOAN_00000007,89192,117192,60,Bad,UBA,Kano,4.7205706227606905,13.613958417526362,Self-Employed,Secondary,5.0,118952.0,23790.4,44307.0,5000.0,30404.0,78.0
CUST_000008,LOAN_00000008,298988,381156,60,Good,UBA,Lagos,8.27007861860071,11.11480482048573,Contract,Masters,1.0,123772.0,123772.0,123772.0,123772.0,153049.0,30.0
CUST_000009,LOAN_00000009,164438,193733,180,Bad,Fidelity Bank,Lagos,4.089723112610667,7.090996910305085,Contract,Secondary,2.0,26715.0,13357.5,20602.0,6113.0,17613.5,45.0
CUST_000010,LOAN_00000010,42134,49903,60,Good,Access Bank,Lagos,4.762895389836999,9.522412540489483,Permanent,Masters,4.0,365769.0,91442.25,192975.0,6863.0,120302.75,75.0
CUST_000011,LOAN_00000011,45381,59983,90,Good,First Bank,Lagos,11.268632826066776,13.086430559390326,Permanent,Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUST_000012,LOAN_00000012,86185,104905,180,Bad,Fidelity Bank,Jos,10.943260103736456,13.600419576370944,Contract,Masters,3.0,107466.0,35822.0,74395.0,15036.0,42436.333333333336,100.0
CUST_000013,LOAN_00000013,15757,19607,90,Good,First Bank,Port Harcourt,12.236249383644063,4.924726500073742,Permanent,HND/BSc,7.0,201635.0,28805.0,66511.0,10482.0,36463.42857142857,107.14285714285714
CUST_000014,LOAN_00000014,30041,38769,90,Good,First Bank,Enugu,11.690638923196746,7.074877694498035,Permanent,HND/BSc,2.0,677066.0,338533.0,631557.0,45509.0,437546.5,180.0
CUST_000015,LOAN_00000015,88816,104712,180,Good,Union Bank,Port Harcourt,10.148580069158363,7.02267816256286,Permanent,HND/BSc,2.0,26787.0,13393.5,19207.0,7580.0,16598.0,45.0
CUST_000016,LOAN_00000016,54206,68069,180,Bad,UBA,Ibadan,4.470995715705966,3.5045375529113363,Self-Employed,Secondary,5.0,356593.0,71318.6,202837.0,10469.0,98201.8,84.0
CUST_000017,LOAN_00000017,281562,340284,30,Good,Zenith Bank,Kaduna,11.045637561879918,10.178853118222758,Contract,Masters,1.0,12128.0,12128.0,12128.0,12128.0,16461.0,90.0
CUST_000018,LOAN_00000018,36506,45677,365,Good,Union Bank,Abuja,11.609597297565044,13.257840635906255,Contract,Secondary,3.0,90134.0,30044.666666666668,75739.0,7001.0,39303.333333333336,180.0
CUST_000019,LOAN_00000019,25913,30335,180,Good,Union Bank,Enugu,11.19173931194759,7.578892653906213,Contract,HND/BSc,2.0,71813.0,35906.5,36114.0,35699.0,47267.0,180.0
CUST_000020,LOAN_00000020,29386,37330,365,Good,First Bank,Enugu,8.576311317772234,11.880431339810125,Self-Employed,HND/BSc,1.0,22048.0,22048.0,22048.0,22048.0,27226.0,90.0
